Student_ID,Topic,Question_ID,Correct,Score,Time_Taken,Difficulty
S1,Representing and Reasoning with Uncertain Knowledge,Q48,1,1,106,Medium
S1,Decision-Making,Q26,0,0,154,Hard
S1,Expert Systems,Q6,0,0,132,Easy
S1,Representing and Reasoning with Uncertain Knowledge,Q67,0,0,204,Medium
S1,Languages for AI problem solving,Q18,1,1,100,Medium
S1,Knowledge Representation and Reasoning,Q51,1,1,98,Hard
S1,Expert Systems,Q44,1,1,128,Hard
S1,Machine Learning and Knowledge Acquisition,Q91,0,0,194,Hard
S1,Expert Systems,Q48,1,1,113,Medium
S1,Decision-Making,Q40,1,1,140,Hard
S1,Languages for AI problem solving,Q77,0,0,173,Medium
S1,Languages for AI problem solving,Q74,1,1,134,Easy
S1,Expert Systems,Q22,1,1,139,Hard
S1,Knowledge Representation and Reasoning,Q19,0,0,163,Hard
S1,Representing and Reasoning with Uncertain Knowledge,Q25,1,1,113,Easy
S1,Machine Learning and Knowledge Acquisition,Q53,0,0,154,Hard
S1,Expert Systems,Q61,1,1,150,Hard
S1,Representing and Reasoning with Uncertain Knowledge,Q67,1,1,144,Easy
S1,Knowledge Representation and Reasoning,Q68,0,0,112,Medium
S1,Knowledge Representation and Reasoning,Q69,1,1,146,Medium
S1,Representing and Reasoning with Uncertain Knowledge,Q79,0,0,121,Medium
S1,Knowledge Representation and Reasoning,Q72,0,0,128,Medium
S1,Expert Systems,Q91,1,1,122,Easy
S1,Languages for AI problem solving,Q62,1,1,179,Medium
S1,Intelligent agents,Q37,1,1,129,Easy
S1,Representing and Reasoning with Uncertain Knowledge,Q51,1,1,162,Medium
S1,Expert Systems,Q38,1,1,151,Easy
S1,Expert Systems,Q45,1,1,155,Medium
S1,Problem Solving through Search,Q28,1,1,94,Easy
S1,Expert Systems,Q90,0,0,168,Medium
S1,Planning,Q31,0,0,205,Easy
S1,Expert Systems,Q29,0,0,102,Hard

